file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Mono,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Mono,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Mono,1,2024,True,False,77210,7721,committed import,committed,True
20,Burkes Creek Road,21,520,All,432,ChipSeal_P,Preserve,Mono,2,2025,False,False,66140,6614,mesh_cracks =17.09; shove =1; poth =0.1,pdi =19.14; sdi =1.22; age =11,False
9339,Weston Way,2385,2696,All,39,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =1.4; shove =0.08; poth =0.07,pdi =2.48; sdi =2.55; age =17,False
16,Sarah Lane,0,515,All,232,ChipSeal_P,Preserve,Mono,2,2025,False,False,46020,4602,mesh_cracks =0.13; shove =0.07; poth =1.29,pdi =13.2; sdi =14.15; age =17,False
917,Port Street East,874,1340,All,22,ChipSeal_P,Preserve,Mono,2,2025,False,False,23300,2330,mesh_cracks =1.1; shove =0.07; poth =0.11,pdi =2.32; sdi =2.86; age =20,False
38,Tyler Place,334,389,All,290,ChipSeal_P,Preserve,Mono,2,2025,False,False,5830,583,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =33,False
21,Tapeka Heights Lane,0,277,All,360,ChipSeal_P,Preserve,Mono,2,2025,False,False,36010,3601,mesh_cracks =0.19; shove =0.08; poth =0.08,pdi =1.09; sdi =18.08; age =18,False
22,Sir John McKenzie Drive,0,530,All,272,ChipSeal_P,Preserve,Mono,2,2025,False,False,42930,4293,mesh_cracks =0.12; shove =0; poth =0,pdi =0.16; sdi =10.03; age =9,False
1092,Bronte Road East,0,156,All,454,ChipSeal_P,Preserve,Mono,2,2025,False,False,12480,1248,mesh_cracks =0.09; shove =0.07; poth =0.07,pdi =0.92; sdi =11.91; age =21,False
32,Karearea Lane,154,820,All,124,ChipSeal_P,Preserve,Mono,2,2025,False,False,77210,7721,mesh_cracks =0.13; shove =0.07; poth =0.65,pdi =6.78; sdi =6.8; age =17,False
13,Puriri Dale Way,0,293,All,192,ChipSeal_P,Preserve,Mono,2,2025,False,False,33760,3376,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =19,False
9339,Weston Way,3114,3398,All,380,ChipSeal_P,Preserve,Mono,2,2025,False,False,35780,3578,mesh_cracks =0.21; shove =0.08; poth =0.08,pdi =7.92; sdi =26.21; age =17,False
9339,Weston Way,2385,2696,All,441,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =17,False
21,Tapeka Heights Lane,0,277,All,204,ChipSeal_P,Preserve,Mono,2,2025,False,False,36010,3601,mesh_cracks =5.7; shove =0.08; poth =0.74,pdi =13.26; sdi =7.74; age =18,False
9339,Weston Way,2385,2696,All,365,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =21.47; shove =0.08; poth =0.08,pdi =29.82; sdi =19.67; age =17,False
16,Sarah Lane,0,515,All,405,ChipSeal_P,Preserve,Mono,2,2025,False,False,46020,4602,mesh_cracks =3.01; shove =0.08; poth =0.07,pdi =3.88; sdi =34.88; age =17,False
4,Highfield Drive,0,71,All,382,ChipSeal_P,Preserve,Mono,2,2025,False,False,4970,497,mesh_cracks =0.11; shove =0.07; poth =0.07,pdi =0.95; sdi =10.22; age =17,False
917,Port Street East,874,1340,All,335,ChipSeal_P,Preserve,Mono,2,2025,False,False,23300,2330,mesh_cracks =0.14; shove =0.07; poth =0.07,pdi =8.55; sdi =19.9; age =20,False
9339,Weston Way,3114,3398,All,289,ChipSeal_P,Preserve,Mono,2,2025,False,False,35780,3578,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =4.2; sdi =17.32; age =17,False
9339,Weston Way,2385,2696,All,357,ChipSeal_P,Preserve,Mono,2,2025,False,False,39190,3919,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =17,False
917,Port Street East,396,874,All,21,ChipSeal_P,Preserve,Mono,2,2025,False,False,29480,2948,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =2.15; age =20,False
917,Port Street East,1340,1431,All,472,ChipSeal_P,Preserve,Mono,2,2025,False,False,4870,487,mesh_cracks =0.1; shove =0.07; poth =0.07,pdi =0.91; sdi =0.92; age =20,False
2,Fladgate Drive,0,565,All,426,ChipSeal_P,Preserve,Mono,2,2025,False,False,42380,4238,mesh_cracks =0.17; shove =0.07; poth =0.07,pdi =7.63; sdi =17.51; age =22,False
16,Sarah Lane,0,515,All,493,ChipSeal_P,Preserve,Mono,2,2025,False,False,46020,4602,mesh_cracks =0.13; shove =0.07; poth =0.98,pdi =10.03; sdi =10.98; age =17,False
38,Tyler Place,334,389,All,109,ChipSeal_P,Preserve,Mono,2,2025,False,False,5830,583,mesh_cracks =0.25; shove =0.08; poth =0.08,pdi =8.57; sdi =39.29; age =33,False
38,Tyler Place,334,389,All,273,ChipSeal_P,Preserve,Mono,2,2025,False,False,5830,583,mesh_cracks =0.24; shove =0.08; poth =0.08,pdi =7.98; sdi =21.2; age =33,False
20,Burkes Creek Road,21,520,All,369,ChipSeal_P,Preserve,Mono,2,2025,False,False,66140,6614,mesh_cracks =0.22; shove =1; poth =0.1,pdi =10.59; sdi =42.61; age =11,False
5,Vintry Drive,0,362,All,5,ChipSeal_P,Preserve,Mono,2,2025,False,False,34750,3475,mesh_cracks =0.12; shove =1.5; poth =0.07,pdi =2.42; sdi =7.59; age =16,False
30,Curly McLeod Way,0,69,All,71,ChipSeal_P,Preserve,Mono,2,2025,False,False,5520,552,mesh_cracks =0.1; shove =0.07; poth =0.14,pdi =1.79; sdi =3.58; age =18,False
917,Port Street East,2120,2350,All,113,ChipSeal_P,Preserve,Mono,2,2025,False,False,13340,1334,mesh_cracks =0.11; shove =4.85; poth =0.1,pdi =9.28; sdi =33.76; age =17,False
13,Puriri Dale Way,0,293,All,337,ChipSeal_P,Preserve,Mono,2,2025,False,False,33760,3376,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.04; sdi =1.05; age =19,False
917,Port Street East,1431,2115,All,271,ChipSeal_P,Preserve,Mono,2,2025,False,False,38050,3805,mesh_cracks =0.12; shove =6.66; poth =0.1,pdi =14.61; sdi =19.07; age =17,False
13,Puriri Dale Way,0,293,All,26,ChipSeal_P,Preserve,Mono,2,2025,False,False,33760,3376,mesh_cracks =0.16; shove =0.08; poth =0.07,pdi =1.05; sdi =1.45; age =19,False
32,Karearea Lane,154,820,All,111,ChipSeal_P,Preserve,Mono,2,2025,False,False,77210,7721,mesh_cracks =0.13; shove =0.07; poth =0.07,pdi =0.99; sdi =1.01; age =17,False
1092,Bronte Road East,0,156,All,93,ChipSeal_P,Preserve,Mono,2,2025,False,False,12480,1248,mesh_cracks =0.09; shove =0.07; poth =0.07,pdi =0.92; sdi =0.95; age =21,False
9339,Weston Way,3398,3457,All,350,ChipSeal_P,Preserve,Mono,2,2025,False,False,7430,743,mesh_cracks =17.29; shove =0.08; poth =0.08,pdi =23.99; sdi =16.52; age =20,False
917,Port Street East,1340,1431,All,390,ChipSeal_P,Preserve,Mono,2,2025,False,False,4870,487,mesh_cracks =0.13; shove =6.6; poth =0.07,pdi =13.79; sdi =47.55; age =20,False
30,Curly McLeod Way,69,82,All,72,RMaint,Maintenance,Mono,2,2025,False,False,33.99,33.99362328076346,mesh_cracks =6.34; shove =0.07; poth =0.07,pdi =7.43; sdi =1.6; age =40,False
30,Curly McLeod Way,69,82,All,118,RMaint,Maintenance,Mono,2,2025,False,False,31.28,31.278642974002214,mesh_cracks =0.12; shove =0.07; poth =0.07,pdi =5.88; sdi =13.27; age =40,False
6,Croatia Avenue,0,42,All,119,RMaint,Maintenance,Mono,2,2025,False,False,128.06,128.05777837969137,mesh_cracks =23.71; shove =0; poth =0.07,pdi =24.42; sdi =0.76; age =10,False
30,Curly McLeod Way,69,82,All,121,RMaint,Maintenance,Mono,2,2025,False,False,43.41,43.41099453804391,mesh_cracks =0.11; shove =0.07; poth =0.54,pdi =6.84; sdi =13.37; age =40,False
1092,Bronte Road East,156,183,All,130,RMaint,Maintenance,Mono,2,2025,False,False,73.48,73.47705390442923,mesh_cracks =0.11; shove =0.07; poth =0.07,pdi =7.06; sdi =16.24; age =23,False
